event_code, primary_location, direction, extent, diversion_advice, ltn, rds_cc, length_route_affected, speed_limit_advice, quantifier, supplementary_info, additional_event, detailed_diversion_instructions, destinations, cross_linkage_to_source_problem, start_unix_time, stop_unix_time, iso_cc, latitude, longitude, activate_unix_time, expire_unix_time, geocoded_location_list, iid, duration, control_code, separator, information_category
2049,12058,0,1,0,10,12,65535,89,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.07415,119.18527,1392188400,1392190200, ,0xa5b9633ca2c9f52ebd7bbda19e5f2424,1,65535,255,218
2049,12059,1,1,0,10,12,65535,91,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.10196,119.31954,1392188400,1392190200, ,0xf561548e4002500790e7ac67463e0931,1,65535,255,218
2050,12060,1,1,0,10,12,65535,81,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.09386,119.37731,1392188400,1392190200, ,0xf823840cc5688fbcb37f31bf3befe9cf,1,65535,255,218
2049,12063,0,1,0,10,12,65535,72,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.23838,119.87261,1392188400,1392190200, ,0xea9a23b9dcda6c9b938523f9838c5028,1,65535,255,218
2049,12066,1,1,0,10,12,65535,57,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.3777,120.02834,1392188400,1392190200, ,0x80f7c43690a2cca9e246e942c438f3be,1,65535,255,218
2049,12067,1,1,0,10,12,65535,95,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.43725,120.02752,1392188400,1392190200, ,0x888f0488602b15e9d23bea63f72a4ca9,1,65535,255,218
2049,12071,1,1,0,10,12,65535,91,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,28.86403,119.94536,1392188400,1392190200, ,0xee989a49c6eec00cc15bb2355250af94,1,65535,255,218
2049,12072,1,1,0,10,12,65535,106,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,28.92334,119.86791,1392188400,1392190200, ,0xb56b29a652a5a5b58098af182d0d492f,1,65535,255,218
2050,12073,1,1,0,10,12,65535,80,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,28.9412,119.83072,1392188400,1392190200, ,0xb03b9653b86c8ddb911097cfe9194de8,1,65535,255,218
2049,12077,1,1,0,10,12,65535,88,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.2188,119.96217,1392188400,1392190200, ,0xd459638406fbf0e8f7b7de689b5526e2,1,65535,255,218
2050,12082,1,1,0,10,12,65535,75,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.34888,120.37306,1392188400,1392190200, ,0x029b0cfaccd07d2a594f11eb85249cae,1,65535,255,218
2050,12408,1,1,0,10,12,65535,29,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.11312,119.67914,1392188400,1392190200, ,0xe6477450ea9fef33cc3a759539dc4f00,1,65535,255,218
2050,12408,0,1,0,10,12,65535,35,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.11312,119.67914,1392188400,1392190200, ,0x1a726c6ed7d1329a1d1a9c019a6464db,1,65535,255,218
2049,12411,0,1,0,10,12,65535,33,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.09108,119.69279,1392188400,1392190200, ,0x3fa25dc1138abc5cdc57cc2f18a8e93a,1,65535,255,218
2049,12413,1,1,0,10,12,65535,30,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.08066,119.69126,1392188400,1392190200, ,0x2a610ee7269406dd2785ab58192a2657,1,65535,255,218
2049,12413,0,1,0,10,12,65535,37,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.08066,119.69126,1392188400,1392190200, ,0x25829762f622286648b33119d0c87579,1,65535,255,218
2049,12414,1,1,0,10,12,65535,44,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.07098,119.67811,1392188400,1392190200, ,0xd3741769edcf595e5de2150e6f1f2183,1,65535,255,218
2050,12416,0,1,0,10,12,65535,28,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.07196,119.66273,1392188400,1392190200, ,0xb4edc3d8f162f1ec15bfb540b0cc12ae,1,65535,255,218
2049,12417,1,1,0,10,12,65535,29,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.07148,119.65687,1392188400,1392190200, ,0x677614614af5384f0012e320a174b232,1,65535,255,218
2050,12419,0,1,0,10,12,65535,28,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.07088,119.647,1392188400,1392190200, ,0x8cc624212b96ce15930c3bb5ae797297,1,65535,255,218
2050,12420,1,1,0,10,12,65535,27,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.07038,119.63911,1392188400,1392190200, ,0xac5dc771d502cd1d769ab22144aab387,1,65535,255,218
2049,12422,0,1,0,10,12,65535,53,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.07576,119.62656,1392188400,1392190200, ,0x19a7f98bfe5afa7256fe65c6a10c1d5f,1,65535,255,218
2050,12423,1,1,0,10,12,65535,42,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.07864,119.6246,1392188400,1392190200, ,0x05dedbb1cc24cdc4a951e30df10bb6ec,1,65535,255,218
2049,12423,0,1,0,10,12,65535,46,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.07864,119.6246,1392188400,1392190200, ,0x2de7e1e8e348ab192beb570c6dc8cab2,1,65535,255,218
2050,12424,0,1,0,10,12,65535,55,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.09193,119.61803,1392188400,1392190200, ,0x8a597ee22b34041f65278a9c3a346e4a,1,65535,255,218
2050,12426,1,1,0,10,12,65535,43,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.10658,119.63044,1392188400,1392190200, ,0x14027ac945c4067fe54163d06a9cc152,1,65535,255,218
2050,12432,0,1,0,10,12,65535,46,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.12732,119.63485,1392188400,1392190200, ,0x954bab92d1986dde5231915249bffb87,1,65535,255,218
2050,12433,0,1,0,10,12,65535,41,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.13103,119.64555,1392188400,1392190200, ,0x7be9affcb62f9ea43b07f5bc6a8e46d9,1,65535,255,218
2050,12435,1,1,0,10,12,65535,30,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.1334,119.65815,1392188400,1392190200, ,0xeaedb31468af645934ef1ca3978e36d1,1,65535,255,218
2049,12436,0,1,0,10,12,65535,65,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.13418,119.6652,1392188400,1392190200, ,0x8f0bd51c2bf4abdc18f0a94d4683c1c1,1,65535,255,218
2049,12437,0,1,0,10,12,65535,83,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.13413,119.68391,1392188400,1392190200, ,0x09c27a21aa4e1f784279a49d1a5827b4,1,65535,255,218
2050,12438,1,1,0,10,12,65535,57,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.13764,119.69526,1392188400,1392190200, ,0xcf14497db899c2c1e6d870c0698c6fed,1,65535,255,218
2050,12438,0,1,0,10,12,65535,54,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.13764,119.69526,1392188400,1392190200, ,0x17b20f933008d6baea3380a79cecbfd4,1,65535,255,218
2050,12442,1,1,0,10,12,65535,48,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.09759,119.71962,1392188400,1392190200, ,0xe5df8dd3d8bb1deabf39cba808a6c1a1,1,65535,255,218
2049,12452,1,1,0,10,12,65535,34,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.0384,119.59167,1392188400,1392190200, ,0x5d2ff1722ce5fe6abdcce2097a5e7d46,1,65535,255,218
2050,12454,0,1,0,10,12,65535,36,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.04611,119.58303,1392188400,1392190200, ,0x591d9724d9bdc461bd779872dd98e13e,1,65535,255,218
2050,12462,1,1,0,10,12,65535,30,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.10553,119.53551,1392188400,1392190200, ,0x063364984f8d26746aa691d3cd606667,1,65535,255,218
2050,12463,0,1,0,10,12,65535,41,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.08939,119.54226,1392188400,1392190200, ,0x07c40f4a9bcddc751aef75770d200a8b,1,65535,255,218
2050,12464,1,1,0,10,12,65535,40,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.0826,119.55823,1392188400,1392190200, ,0x8e321121917945a28eb3a8f5c4472d0e,1,65535,255,218
2050,12464,0,1,0,10,12,65535,39,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.0826,119.55823,1392188400,1392190200, ,0x7330ee21c452462b9ca808371f940302,1,65535,255,218
2050,12465,0,1,0,10,12,65535,37,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.04401,119.68115,1392188400,1392190200, ,0x1331092e6734ee60e31e9cc990e5395d,1,65535,255,218
2050,12467,1,1,0,10,12,65535,38,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.07293,119.57566,1392188400,1392190200, ,0x1913706a40e8c169b054744717fd684a,1,65535,255,218
2050,12468,0,1,0,10,12,65535,30,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.0706,119.59465,1392188400,1392190200, ,0xaf1cc5b62b83441de56d261e2444c5ce,1,65535,255,218
2050,12471,0,1,0,10,12,65535,35,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.05398,119.62225,1392188400,1392190200, ,0x0b7b64b40ca7c0d13df7696161ec5d3e,1,65535,255,218
2049,12473,1,1,0,10,12,65535,45,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.05876,119.64797,1392188400,1392190200, ,0x175bf32fba090c82a847c541289d1c04,1,65535,255,218
2050,12474,0,1,0,10,12,65535,24,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.05945,119.65787,1392188400,1392190200, ,0xc0f252acd79935d938adf06fd9d789b1,1,65535,255,218
2050,12476,0,1,0,10,12,65535,32,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.06152,119.67943,1392188400,1392190200, ,0xbe614dd51f685c953b0685950e02fe7a,1,65535,255,218
2049,12477,1,1,0,10,12,65535,33,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.06613,119.72488,1392188400,1392190200, ,0x1261b79d71d316db4c4898aec1b8be0c,1,65535,255,218
2050,12477,0,1,0,10,12,65535,33,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.06613,119.72488,1392188400,1392190200, ,0x0de1ff7305dc49d4aa91443bdc74ae2b,1,65535,255,218
2050,12478,1,1,0,10,12,65535,22,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.05404,119.76043,1392188400,1392190200, ,0x860d6e78a09202376d0424148c4bc6d3,1,65535,255,218
2049,12481,1,1,0,10,12,65535,29,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.13129,119.60064,1392188400,1392190200, ,0xa77e73be0b2fa67e5fb4184f0a76bb6d,1,65535,255,218
2050,12481,0,1,0,10,12,65535,27,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.13129,119.60064,1392188400,1392190200, ,0x2bede133f1d77710d9d26a35ca71d475,1,65535,255,218
2050,12482,1,1,0,10,12,65535,28,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.11414,119.61792,1392188400,1392190200, ,0x86d40e3fa354ca627af7d09899d4aec5,1,65535,255,218
2051,12484,0,1,0,10,12,65535,19,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.10658,119.63044,1392188400,1392190200, ,0x0882b3a57bd1e9344eaf86721984878f,1,65535,255,218
2050,12486,1,1,0,10,12,65535,30,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.10768,119.63628,1392188400,1392190200, ,0xfd5f34cfde3da195a440a4e56e14cac0,1,65535,255,218
2050,12489,0,1,0,10,12,65535,34,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.10763,119.65179,1392188400,1392190200, ,0xf5dff4ed114a77512f2de5131ac54e8b,1,65535,255,218
2050,12496,1,1,0,10,12,65535,46,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.11312,119.67914,1392188400,1392190200, ,0x7cc1b3d639aa6ed1985d665e511b0dd5,1,65535,255,218
2049,12510,0,1,0,10,12,65535,28,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.07803,119.63263,1392188400,1392190200, ,0x4030070f8b388ec4fcbb2ec4f7ebde62,1,65535,255,218
2050,12511,1,1,0,10,12,65535,26,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.07895,119.63795,1392188400,1392190200, ,0xbaaa7f17217609259079ee06e5064855,1,65535,255,218
2049,12511,0,1,0,10,12,65535,32,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.07895,119.63795,1392188400,1392190200, ,0x00d13d2acff105b73989177442edb380,1,65535,255,218
2049,12512,1,1,0,10,12,65535,35,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.07959,119.64183,1392188400,1392190200, ,0xadef70d10b4f74e9722133dac61b5da5,1,65535,255,218
2049,12512,0,1,0,10,12,65535,29,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.07959,119.64183,1392188400,1392190200, ,0x1420732f6b614d508fbacc592063a8d8,1,65535,255,218
2049,12513,1,1,0,10,12,65535,52,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.08018,119.64545,1392188400,1392190200, ,0x5ab85185a7d65db9ced7ec067b753b62,1,65535,255,218
2050,12515,1,1,0,10,12,65535,35,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.08166,119.65479,1392188400,1392190200, ,0x51a82d02737e2a6e22b4d5149e9f9c68,1,65535,255,218
2049,12516,1,1,0,10,12,65535,48,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.08254,119.66062,1392188400,1392190200, ,0x69821b1538bca13a11d8b8b67108a11e,1,65535,255,218
2050,12516,0,1,0,10,12,65535,33,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.08254,119.66062,1392188400,1392190200, ,0x94c9fdc8c77becf25ec56820f87e775b,1,65535,255,218
2049,12517,1,1,0,10,12,65535,34,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.15124,119.70351,1392188400,1392190200, ,0x280b2ce6a4eca07e874ec208f3b1c105,1,65535,255,218
2049,12517,0,1,0,10,12,65535,48,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.15124,119.70351,1392188400,1392190200, ,0xc5715195f701abd81c095c942ee5ffff,1,65535,255,218
2050,12518,1,1,0,10,12,65535,25,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.08414,119.6698,1392188400,1392190200, ,0xe3345fc10d1faa2ba47c12227c511629,1,65535,255,218
2049,12518,0,1,0,10,12,65535,42,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.08414,119.6698,1392188400,1392190200, ,0xa59963b5a27aca6eb54d268cd642ac04,1,65535,255,218
2050,12521,1,1,0,10,12,65535,25,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.0935,119.68523,1392188400,1392190200, ,0xbc917c3a36238df600184280eff5b597,1,65535,255,218
2050,12522,0,1,0,10,12,65535,27,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.09537,119.68995,1392188400,1392190200, ,0xb8d0df5997fbaffaf2e3cb3abd68458a,1,65535,255,218
2050,12524,1,1,0,10,12,65535,29,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.09759,119.71962,1392188400,1392190200, ,0x7ba7d748bb72367184a53065f6b602f4,1,65535,255,218
2050,12525,0,1,0,10,12,65535,29,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.09758,119.71297,1392188400,1392190200, ,0x7d9228efcb18d57f46d552c04942c162,1,65535,255,218
2050,12528,1,1,0,10,12,65535,23,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.09843,119.65103,1392188400,1392190200, ,0x9735032e0f9e3ff5c0f4ac742cf26a91,1,65535,255,218
2050,12528,0,1,0,10,12,65535,21,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.09843,119.65103,1392188400,1392190200, ,0xf8d40da71f4507321f064a7524c76d55,1,65535,255,218
2050,12529,0,1,0,10,12,65535,25,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.10206,119.63873,1392188400,1392190200, ,0x14ab7c215f3e7e17a28ed82df186ec21,1,65535,255,218
2050,12531,1,1,0,10,12,65535,25,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.10897,119.63589,1392188400,1392190200, ,0x2b5c0e515bde09a1905b72ee0d7307b1,1,65535,255,218
2051,12532,1,1,0,10,12,65535,13,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.08813,119.64381,1392188400,1392190200, ,0x928b175358b7dabd5dccebbe159b53f3,1,65535,255,218
2050,12532,0,1,0,10,12,65535,20,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.08813,119.64381,1392188400,1392190200, ,0x6303114b9bd3a2c22e447599c5b0153f,1,65535,255,218
2049,12536,1,1,0,10,12,65535,47,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.05876,119.64797,1392188400,1392190200, ,0xc3236ab62722d769bd101cdd3f9b7d0a,1,65535,255,218
2050,12537,1,1,0,10,12,65535,36,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.06354,119.64759,1392188400,1392190200, ,0x53395f203d0086aaf664684babbfc0a8,1,65535,255,218
2049,12537,0,1,0,10,12,65535,56,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.06354,119.64759,1392188400,1392190200, ,0xa3ccd748da3c27e6574ff61552236db2,1,65535,255,218
2050,12538,1,1,0,10,12,65535,38,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.07088,119.647,1392188400,1392190200, ,0xb77bc2a0f85401608af9cfeeac9a6b85,1,65535,255,218
2049,12538,0,1,0,10,12,65535,55,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.07088,119.647,1392188400,1392190200, ,0x4c7fec451bd59ea4913f8d17a94e3978,1,65535,255,218
2050,12539,0,1,0,10,12,65535,29,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.07636,119.64621,1392188400,1392190200, ,0x5e8c0892e32cee414984ae02881486a0,1,65535,255,218
2050,12540,1,1,0,10,12,65535,30,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.08018,119.64545,1392188400,1392190200, ,0xc8330fb3b691e462d2600968c149a378,1,65535,255,218
2049,12540,0,1,0,10,12,65535,60,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.08018,119.64545,1392188400,1392190200, ,0x92bbbe2e7fe092e1d3bbba53764600a3,1,65535,255,218
2049,12541,0,1,0,10,12,65535,48,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.0836,119.64476,1392188400,1392190200, ,0x3ba5b5b821bd5b99ba9250e706b30589,1,65535,255,218
2049,12546,0,1,0,10,12,65535,52,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.05945,119.65787,1392188400,1392190200, ,0x6401812b5048be410d010dd443a7b339,1,65535,255,218
2050,12547,1,1,0,10,12,65535,34,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.06418,119.65746,1392188400,1392190200, ,0xc945140ff0af1a00487fc852a93ff157,1,65535,255,218
2050,12547,0,1,0,10,12,65535,24,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.06418,119.65746,1392188400,1392190200, ,0x674b737af7603d3ad5f2766875774aec,1,65535,255,218
2050,12548,1,1,0,10,12,65535,30,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.07148,119.65687,1392188400,1392190200, ,0x742464f1cab6bbf9ae497cf4d538ff7c,1,65535,255,218
2050,12550,0,1,0,10,12,65535,33,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.08166,119.65479,1392188400,1392190200, ,0x8c64d8bddf00f24c1dfcdb278a48b122,1,65535,255,218
2050,12551,1,1,0,10,12,65535,40,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.08511,119.65409,1392188400,1392190200, ,0x1dc2d4fc2f52ca717117efbabef7ad1c,1,65535,255,218
2050,12551,0,1,0,10,12,65535,29,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.08511,119.65409,1392188400,1392190200, ,0x909d3dc299e5d6fc7c96718f76526774,1,65535,255,218
2050,12562,1,1,0,10,12,65535,37,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.11988,119.65308,1392188400,1392190200, ,0x923f8981306c30e05099bb0bc7a76642,1,65535,255,218
2050,12565,1,1,0,10,12,65535,31,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.13279,119.65303,1392188400,1392190200, ,0xed6be5fb66402f11dd0597a0c715ec62,1,65535,255,218
2050,12566,0,1,0,10,12,65535,39,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.13675,119.65147,1392188400,1392190200, ,0x55e2e48f928e6647bbf1ab85908c6988,1,65535,255,218
2049,12572,1,1,0,10,12,65535,35,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.05669,119.6799,1392188400,1392190200, ,0x26a2a1863c4ce8452d3d3e020a8e9808,1,65535,255,218
2050,12573,1,1,0,10,12,65535,35,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.06152,119.67943,1392188400,1392190200, ,0x4d450204867ebde9bd5423aa8704afc4,1,65535,255,218
